LECROYWS452,17453,Waveform
Segments,1,SegmentSize,4998
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2014 16:14:11,0                 
Time,Ampl
2.487939e-006,1.4825
2.488939e-006,1.52937
2.489939e-006,1.46687
2.490939e-006,1.51375
2.491939e-006,1.49812
2.492939e-006,1.46687
2.493939e-006,1.51375
2.494939e-006,1.49812
2.495939e-006,1.49812
2.496939e-006,1.52937
2.497939e-006,1.51375
2.498939e-006,1.49812
2.499939e-006,1.4825
2.500939e-006,1.51375
2.501939e-006,1.49812
2.502939e-006,1.49812
2.503939e-006,1.49812
2.504939e-006,1.51375
2.505939e-006,1.4825
2.506939e-006,1.49812
2.507939e-006,1.49812
2.508939e-006,1.46687
2.509939e-006,1.545
2.510939e-006,1.46687
2.511939e-006,1.545
2.512939e-006,1.4825
2.513939e-006,1.51375
2.514939e-006,1.49812
2.515939e-006,1.51375
2.516939e-006,1.49812
2.517939e-006,1.4825
2.518939e-006,1.56062
2.519939e-006,1.4825
2.520939e-006,1.52937
2.521939e-006,1.4825
2.522939e-006,1.49812
2.523939e-006,1.49812
2.524939e-006,1.52937
2.525939e-006,1.51375
2.526939e-006,1.51375
2.527939e-006,1.49812
2.528939e-006,1.545
2.529939e-006,1.49812
2.530939e-006,1.49812
2.531939e-006,1.51375
2.532939e-006,1.51375
2.533939e-006,1.49812
2.534939e-006,1.46687
2.535939e-006,1.545
2.536939e-006,1.49812
2.537939e-006,1.545
2.538939e-006,1.4825
2.539939e-006,1.49812
2.540939e-006,1.52937
2.541939e-006,1.49812
2.542939e-006,1.51375
2.543939e-006,1.51375
2.544939e-006,1.51375
2.545939e-006,1.51375
2.546939e-006,1.52937
2.547939e-006,1.49812
2.548939e-006,1.545
2.549939e-006,1.46687
2.550939e-006,1.59187
2.551939e-006,1.49812
2.552939e-006,1.49812
2.553939e-006,1.51375
2.554939e-006,1.49812
2.555939e-006,1.52937
2.556939e-006,1.51375
2.557939e-006,1.56062
2.558939e-006,1.51375
2.559939e-006,1.52937
2.560939e-006,1.545
2.561939e-006,1.52937
2.562939e-006,1.52937
2.563939e-006,1.49812
2.564939e-006,1.545
2.565939e-006,1.545
2.566939e-006,1.545
2.567939e-006,1.52937
2.568939e-006,1.52937
2.569939e-006,1.49812
2.570939e-006,1.52937
2.571939e-006,1.52937
2.572939e-006,1.49812
2.573939e-006,1.56062
2.574939e-006,1.545
2.575939e-006,1.49812
2.576939e-006,1.52937
2.577939e-006,1.49812
2.578939e-006,1.49812
2.579939e-006,1.49812
2.580939e-006,1.545
2.581939e-006,1.52937
2.582939e-006,1.49812
2.583939e-006,1.545
2.584939e-006,1.45125
2.585939e-006,1.59187
2.586939e-006,1.49812
